fecha,entidad,hospitalizados,camas_intubados
2020-08-08,Estado de México,1091,263
2020-08-15,Ciudad de México,2803,701
2020-08-15,Estado de México,1117,250
2020-08-20,Ciudad de México,2807,676
2020-08-20,Estado de México,1110,250
2020-08-21,Ciudad de México,2765,678
2020-08-21,Estado de México,1066,233
2020-08-27,Ciudad de México,2891,699
2020-08-27,Estado de México,967,204
2020-08-29,Ciudad de México,2816,704
2020-08-29,Estado de México,935,196
2020-09-04,Ciudad de México,2870,666
2020-09-04,Estado de México,907,185
2020-09-07,Ciudad de México,2865,671
2020-09-07,Estado de México,911,200
2020-09-08,Ciudad de México,2906,681
2020-09-08,Estado de México,941,190
2020-09-09,Ciudad de México,2899,683
2020-09-09,Estado de México,938,188
2020-09-15,Ciudad de México,2832,704
2020-09-15,Estado de México,953,191
2020-09-17,Ciudad de México,2788,706
2020-09-17,Estado de México,929,195
2020-09-18,Ciudad de México,2830,709
2020-09-18,Estado de México,943,199
2020-09-19,Ciudad de México,2751,696
2020-09-19,Estado de México,900,200
2020-09-29,Ciudad de México,2586,659
2020-09-29,Estado de México,841,168
2020-09-30,Ciudad de México,2582,670
2020-09-30,Estado de México,854,170
2020-10-04,Ciudad de México,2556,670
2020-10-04,Estado de México,861,156
2020-10-05,Ciudad de México,2585,664
2020-10-05,Estado de México,893,159
2020-10-09,Ciudad de México,2585,665
2020-10-09,Estado de México,881,179
2020-10-10,Ciudad de México,2557,656
2020-10-10,Estado de México,847,178
2020-10-15,Ciudad de México,2681,694
2020-10-15,Estado de México,912,189
2020-10-16,Ciudad de México,2701,672
2020-10-16,Estado de México,918,189
2020-10-17,Ciudad de México,2715,678
2020-10-17,Estado de México,916,188
2020-10-18,Ciudad de México,2737,684
2020-10-18,Estado de México,939,188
2020-10-19,Ciudad de México,2763,696
2020-10-19,Estado de México,963,185
2020-10-21,Ciudad de México,2748,720
2020-10-21,Estado de México,1003,194
2020-10-22,Ciudad de México,2757,750
2020-10-22,Estado de México,968,202
2020-10-26,Ciudad de México,2807,734
2020-10-26,Estado de México,967,203
2020-10-28,Ciudad de México,2878,740
2020-10-28,Estado de México,986,205
2020-10-31,Ciudad de México,2823,723
2020-10-31,Estado de México,919,203
2020-11-03,Ciudad de México,2882,733
2020-11-03,Estado de México,934,180
2020-11-04,Ciudad de México,2889,727
2020-11-04,Estado de México,936,191
2020-11-08,Ciudad de México,2943,751
2020-11-08,Estado de México,950,196
2020-11-10,Ciudad de México,3100,766
2020-11-10,Estado de México,995,192
2020-11-12,Ciudad de México,3219,818
2020-11-12,Estado de México,1025,202
2020-11-13,Ciudad de México,3273,820
2020-11-13,Estado de México,1032,204
2020-11-14,Ciudad de México,3245,843
2020-11-14,Estado de México,1056,200
2020-11-24,Ciudad de México,3542,830
2020-11-24,Estado de México,1201,231
2020-11-25,Ciudad de México,3585,843
2020-11-25,Estado de México,1226,235
2020-11-27,Ciudad de México,3664,885
2020-11-27,Estado de México,1291,248
2020-12-09,Ciudad de México,4371,1004
2020-12-09,Estado de México,1680,286
2020-12-10,Ciudad de México,4443,1011
2020-12-10,Estado de México,1732,293
2020-12-11,Ciudad de México,4517,1032
2020-12-11,Estado de México,1788,303
2020-12-12,Ciudad de México,4540,1028
2020-12-12,Estado de México,1774,301
2020-12-14,Ciudad de México,4724,1075
2020-12-14,Estado de México,1881,299
2020-12-16,Ciudad de México,4854,1158
2020-12-16,Estado de México,1981,341
2020-12-17,Ciudad de México,4938,1175
2020-12-17,Estado de México,2037,367
2020-12-18,Ciudad de México,5039,1235
2020-12-18,Estado de México,2058,382
2020-12-20,Ciudad de México,5203,1361
2020-12-20,Estado de México,2134,405
2020-12-21,Ciudad de México,5347,1388
